set_id,power_w,scan_speed_mm_s,layer_thickness_mm,hatch_spacing_mm,linear_energy_density_j_mm,volumetric_energy_density_j_mm3,modified_energy_density,power_speed_product,surface_roughness_avg_um,xct_porosity_pct,archimedes_porosity_pct,vickers_hardness_hv,ultimate_tensile_strength_mpa,yield_strength_mpa,elongation_to_fracture_pct,youngs_modulus_gpa
11.0,360.0,1350.0,0.06,0.1,0.26666666666666666,44.44444444444444,9.797958971132712,486.0,15.686383112427462,0.248079690397864,0.7046989268402509,115.0394336,376.0,219.85140780878015,3.58,69.5
12.0,360.0,1900.0,0.06,0.1,0.18947368421052632,31.57894736842105,8.258966419340224,684.0,15.3855486056496,0.282030079018423,1.1584356763347976,116.862016,382.0,223.08801906244622,3.8899999999999997,69.5
13.0,360.0,2450.0,0.06,0.1,0.1469387755102041,24.489795918367346,7.273098320775917,882.0,14.417921045811813,2.57624601654387,4.851795046186064,118.3269027,379.0,224.1162904179909,3.535,70.5
14.0,360.0,3000.0,0.06,0.1,0.12,20.0,6.572670690061993,1080.0,14.976367458667449,0.293487022716679,0.7578008049813137,107.8827801,380.5,224.259948566767,3.8200000000000003,69.5
15.0,460.0,250.0,0.06,0.1,1.84,306.6666666666667,29.092954473549092,115.0,14.153508386336075,1.14715372496061,0.7700523784870489,111.6769019,375.5,221.6147994791374,3.555,70.5
16.0,460.0,800.0,0.06,0.1,0.575,95.83333333333331,16.263455967290593,368.0,24.618924655585612,3.98918040107736,4.014513108614207,112.5284725,371.0,219.6166291522674,3.5700000000000003,66.0
17.0,460.0,1350.0,0.06,0.1,0.34074074074074073,56.79012345679013,12.519614240891798,621.0,16.826562627656585,0.165254101571994,0.8009362713041998,115.3175126,380.5,227.2072243241651,3.58,67.0
18.0,460.0,1900.0,0.06,0.1,0.24210526315789474,40.35087719298245,10.55312375804584,874.0,17.223228167627298,0.198737558490603,0.8194994056621191,111.1171523,371.5,219.16920337996595,3.3049999999999997,73.0
19.0,460.0,2450.0,0.06,0.1,0.18775510204081633,31.29251700680272,9.293403409880339,1127.0,16.08814933461831,0.206510940674423,0.618928738578148,114.5934124,373.0,218.20565140402385,3.5599999999999996,70.5
20.0,460.0,3000.0,0.06,0.1,0.15333333333333332,25.555555555555557,8.398412548412546,1380.0,14.862796283972175,0.169407199159296,0.2574906367041019,114.4154792,381.0,223.1591518931769,3.705,69.5
21.0,110.0,250.0,0.06,0.1,0.44,73.33333333333333,6.957010852370435,27.5,14.506979609335936,0.204480119554388,0.8811213383084897,108.7507134,381.5,228.4582693754333,3.38,71.5
22.0,210.0,250.0,0.06,0.1,0.84,140.0,13.281566172707194,52.5,14.413926790766237,0.176972476366484,1.090552001051813,112.8311768,379.0,222.7159853400751,3.85,72.0
23.0,60.0,500.0,0.06,0.1,0.12,20.0,2.6832815729997477,30.0,14.252318080387525,0.19668416326372,0.7892795070587707,123.524633,384.5,237.4087160489122,3.245,76.5
24.0,110.0,500.0,0.06,0.1,0.22,36.666666666666664,4.919349550499537,55.0,18.158815432318,0.180702507248043,1.2608427024251427,115.2387778,379.5,228.24304445183853,3.385,73.0
25.0,160.0,500.0,0.06,0.1,0.32,53.333333333333336,7.155417527999327,80.0,15.596055433360686,0.247743411500725,0.927661485584756,115.1727162,382.5,224.62882597952802,3.575,76.0
26.0,210.0,500.0,0.06,0.1,0.42,70.0,9.391485505499116,105.0,14.961535088260735,0.127537811856017,0.8043988560178685,118.4198971,383.5,226.1137561309785,3.685,75.5
27.0,260.0,500.0,0.06,0.1,0.52,86.66666666666667,11.627553482998906,130.0,15.746718927485125,0.244394358442764,1.1277776228845462,106.1351446,381.0,226.22263185619735,3.605,73.0
28.0,360.0,500.0,0.06,0.1,0.72,120.0,16.099689437998485,180.0,15.981483545438588,0.196325586950587,1.193275847051708,121.1234752,380.5,227.66024534236854,3.3899999999999997,75.5
29.0,460.0,500.0,0.06,0.1,0.92,153.33333333333334,20.571825392998065,230.0,15.245948527016614,0.143022850805231,1.5582373884496026,122.9433869,388.0,239.87892029645616,3.5549999999999997,67.5
30.0,110.0,800.0,0.06,0.1,0.1375,22.916666666666664,3.8890872965260113,88.0,15.908977139406025,0.206677857386558,0.9317905135671689,119.9788022,378.5,226.22000254186673,3.46,70.5
31.0,210.0,800.0,0.06,0.1,0.2625,43.74999999999999,7.424621202458749,168.0,15.1728255214454,0.223914646491999,1.0282178332984453,119.5284861,344.0,225.73580124858282,2.55,64.5
32.0,210.0,1350.0,0.06,0.1,0.15555555555555556,25.925925925925927,5.715476066494082,283.5,15.144717903987862,0.673403773624759,1.490445830219979,123.7454975,257.5,195.63406588885303,1.345,67.0
33.0,60.0,250.0,0.06,0.15,0.24,26.666666666666668,3.794733192202055,15.0,13.64965130968119,14.4273745145821,16.425804137142887,121.1603302,183.5,149.5453010249982,0.865,55.25774899483275
34.0,160.0,250.0,0.06,0.15,0.64,71.11111111111111,10.119288512538814,40.0,14.011649914902375,0.405117359177038,1.1606755565506168,114.4124967,285.3333333333333,202.6126212514209,1.9833333333333334,62.447333333333326
35.0,160.0,800.0,0.06,0.15,0.2,22.222222222222225,5.65685424949238,128.0,13.831347882385927,5.45613471119379,3.5562957185319655,122.4861229,252.33333333333334,180.54776874376125,2.3766666666666665,60.0
36.0,260.0,250.0,0.06,0.15,1.04,115.55555555555556,16.443843832875572,65.0,14.57381308050296,8.00049159958173,6.04734889005289,84.98819922,297.3333333333333,161.11767259829907,4.006666666666667,57.666666666666664
37.0,260.0,800.0,0.06,0.15,0.325,36.111111111111114,9.192388155425117,208.0,14.424905311947162,0.313945421504444,1.3992360619656607,108.5021898,327.6666666666667,215.7878059744062,2.793333333333333,65.0
38.0,260.0,1350.0,0.06,0.15,0.1925925925925926,21.39917695473251,7.076303701373625,351.0,14.1147607560672,1.96003373146263,2.0840171041635864,114.5028023,297.6666666666667,200.74552642917592,2.8166666666666664,58.333333333333336
39.0,360.0,250.0,0.06,0.15,1.44,160.0,22.768399153212332,90.0,11.683574191315078,6.86763267438528,5.269257008950382,78.43456186,255.66666666666666,164.00357575828352,3.956666666666667,58.666666666666664
40.0,360.0,800.0,0.06,0.15,0.45,50.00000000000001,12.727922061357855,288.0,18.939884617579875,4.97471578569671,4.4465166411975865,105.5643942,317.3333333333333,201.82296340315906,3.1,56.666666666666664
41.0,360.0,1350.0,0.06,0.15,0.26666666666666666,29.62962962962963,9.797958971132712,486.0,14.0237994413832,0.178383537049798,1.275640086763101,117.2905238,328.6666666666667,210.09177614282154,2.7566666666666664,63.333333333333336
42.0,360.0,1900.0,0.06,0.15,0.18947368421052632,21.05263157894737,8.258966419340224,684.0,13.707851853663962,1.25435741123302,2.091165167492163,108.0009543,312.0,208.27724212692922,3.1266666666666665,61.0
43.0,460.0,250.0,0.06,0.15,1.84,204.44444444444446,29.092954473549092,115.0,14.165008687906225,6.2805635235884,3.900987962577651,82.32774521,247.0,156.79546697110516,4.176666666666667,77.0
44.0,460.0,800.0,0.06,0.15,0.575,63.88888888888889,16.263455967290593,368.0,13.402371092151387,7.25450078136995,5.694229518491146,98.43559937,329.6666666666667,203.18766634205485,3.9033333333333338,58.333333333333336
45.0,460.0,1350.0,0.06,0.15,0.34074074074074073,37.86008230452675,12.519614240891798,621.0,15.685173759104,0.465838057234849,1.4451220577699104,114.5484578,308.3333333333333,184.98411977136672,3.6766666666666663,56.333333333333336
46.0,460.0,1900.0,0.06,0.15,0.24210526315789474,26.90058479532164,10.55312375804584,874.0,13.961451756638862,0.238763898691814,1.288250368154337,119.1691858,349.0,228.66556603089805,3.09,56.0
47.0,460.0,2450.0,0.06,0.15,0.18775510204081633,20.861678004535147,9.293403409880339,1127.0,14.131755424573413,0.872199753849679,1.6273082963912875,120.9111272,307.6666666666667,216.9581511335874,2.1633333333333336,64.66666666666667
48.0,110.0,250.0,0.06,0.15,0.44,48.888888888888886,6.957010852370435,27.5,16.22990324787096,0.83391252828929,3.6215671329875407,103.9790053,249.33333333333334,183.8227570343771,1.5333333333333332,51.333333333333336
49.0,110.0,500.0,0.06,0.15,0.22,24.444444444444443,4.919349550499537,55.0,13.465112014381049,10.6292635587944,5.643393449046422,118.6482045,214.33333333333334,159.18285771164824,1.07,58.666666666666664
50.0,160.0,500.0,0.06,0.15,0.32,35.55555555555556,7.155417527999327,80.0,15.386721597939886,0.991521366235119,1.8226592928520933,124.0742278,309.0,207.6620640608379,2.5333333333333337,56.333333333333336
51.0,260.0,500.0,0.06,0.15,0.52,57.77777777777778,11.627553482998906,130.0,15.485898970407463,5.19657565909181,3.595363480658721,113.7244272,291.6666666666667,176.95385190324507,3.6199999999999997,52.666666666666664
52.0,360.0,500.0,0.06,0.15,0.72,80.0,16.099689437998485,180.0,14.0107975580508,7.91290270080055,5.925757423201096,116.5103686,254.66666666666666,154.6618938710259,4.003333333333333,56.0
53.0,460.0,500.0,0.06,0.15,0.92,102.22222222222223,20.571825392998065,230.0,17.123537222001513,6.57430904665823,5.056759545923605,109.4614493,256.6666666666667,152.17418840906487,4.516666666666667,57.333333333333336
54.0,210.0,250.0,0.06,0.15,0.84,93.33333333333333,13.281566172707194,52.5,13.597314402192842,4.79348864049357,3.8082397003744655,110.5929353,307.6666666666667,188.12124073498796,3.4499999999999997,57.0
55.0,210.0,500.0,0.06,0.15,0.42,46.666666666666664,9.391485505499116,105.0,15.290809551776135,0.27704674667915,1.268274469996622,122.2818517,341.3333333333333,219.16865845494854,2.883333333333333,61.0
56.0,210.0,800.0,0.06,0.15,0.2625,29.166666666666668,7.424621202458749,168.0,15.315185208879388,0.373573261873095,1.2427912846850666,116.2662249,325.3333333333333,219.51542982057472,2.41,60.333333333333336
57.0,210.0,1100.0,0.06,0.15,0.19090909090909092,21.21212121212121,6.331738236133035,231.0,12.5583265422032,2.58256063949305,2.6287212613010045,123.4574067,317.6666666666667,210.99629300370566,2.16,65.0
58.0,260.0,1100.0,0.06,0.15,0.23636363636363636,26.262626262626263,7.839294959021854,286.0,15.535898251824689,0.43871983968778,1.2618984633520647,124.4935794,352.3333333333333,220.22000333401698,2.903333333333333,58.666666666666664
59.0,360.0,1100.0,0.06,0.15,0.32727272727272727,36.36363636363636,10.85440840479949,396.0,15.028925968568412,1.11602430044875,1.8223176225735402,114.1708747,325.0,208.8445112515749,2.956666666666667,57.0
60.0,460.0,1100.0,0.06,0.15,0.41818181818181815,46.464646464646464,13.869521850577126,506.0,23.74384673045695,2.45173050547779,3.467896092753818,118.3713983,296.0,185.52044326462376,3.0233333333333334,60.0
